Country,Population_Total,Current_Health_Expenditure_%GDP,GDP_per_Capita,UNDP_Multidim_Poverty_Ratio_%Pop,Poverty_Ratio_SocialLine_%Pop,Population_Rural,Prevalence of HIV total (% of population ages 15-49),"Incidence of tuberculosis (per 100,000 people) ",Diabetes prevalence (% of population ages 20 to 79),Hospital_beds_1000ppl,Physicians_1000ppl,"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]",Rural land area (sq. km) [AG.LND.TOTL.RU.K2],Surface area (sq. km) [AG.SRF.TOTL.K2]
Poland,37884469.1,6.3085,13330.87094,..,15.54444444,14904158.24,0.1,19.4047619,7.9,6.467222222,2.3219375,10.495,293194.0002,312687.5
Portugal,10446041.9,9.7005,21907.97357,..,14.76315789,3944734.857,0.585,26.04761905,9.35,3.435,4.306222222,10.475,87685.7262,92185.66
Puerto Rico,3537562.286,..,28145.35544,..,..,219506.5714,..,1.975238095,13.15,..,..,8.43885,6516.709161,8870
Qatar,1894866.429,2.664236132,71861.00433,..,17.5,22695.85714,0.1,36.04761905,19.65,1.38,2.800875,1.3592,10591.24111,11556
Romania,20100975,5.305263158,9854.693726,..,24.69375,9285937.524,0.1,93.95238095,7.1,6.811666667,2.455833333,13.16,229905.7683,238395
Russian Federation,144036285.2,5.348947368,10578.62365,..,17.2,37360822.33,..,70.0952381,7.65,8.384736842,4.420333333,14.055,16224183.47,17098246.5
Rwanda,11162065.38,7.303107914,642.6923054,48.8,58.15,9247334.19,3.38,76,4.8,0.891875,0.080684615,7.9295,22337.27207,26340
Samoa,199284.9048,5.317211703,3597.543938,6.3,23.95,160686.7143,..,11.07619048,8.45,1.326666667,0.377714286,5.31525,2817.356677,2840
San Marino,32569.47619,7.049094476,54233.0566,..,..,1222.238095,..,0.195238095,6.45,3.415,5.16675,7.378947368,36.00050701,60
Sao Tome and Principe,192288,7.683368382,1449.696875,11.7,37.3,60974.7619,0.96,122.8571429,5.5,3.0475,0.438666667,6.8326,994.1657239,960
Saudi Arabia,26728859.1,4.625313283,23320.19909,..,..,4554874.952,0.1,14.18571429,19.15,2.084210526,2.214142857,2.67955,1908957.389,2149690
Senegal,14022187.14,4.188314012,1306.71208,50.8,39.775,7639261.143,0.505,127.2380952,3.15,0.51,0.1206625,6.99315,194448.5732,196710
